"date","borough","ridership"
2024-06-03,"Bronx",81362
2024-06-03,"Brooklyn",262036
2024-06-03,"Manhattan",316780
2024-06-03,"Queens",174702
2024-06-04,"Bronx",84976
2024-06-04,"Brooklyn",284948
2024-06-04,"Manhattan",335157
2024-06-04,"Queens",181062
2024-06-05,"Bronx",86655
2024-06-05,"Brooklyn",283988
2024-06-05,"Manhattan",337330
2024-06-05,"Queens",180217
2024-06-06,"Bronx",81539
2024-06-06,"Brooklyn",272701
2024-06-06,"Manhattan",322489
2024-06-06,"Queens",175062
2024-06-07,"Bronx",78045
2024-06-07,"Brooklyn",238305
2024-06-07,"Manhattan",305414
2024-06-07,"Queens",167074
2024-06-10,"Bronx",82158
2024-06-10,"Brooklyn",258314
2024-06-10,"Manhattan",314475
2024-06-10,"Queens",174053
2024-06-11,"Bronx",85671
2024-06-11,"Brooklyn",281564
2024-06-11,"Manhattan",333704
2024-06-11,"Queens",184251
2024-06-12,"Bronx",85460
2024-06-12,"Brooklyn",277131
2024-06-12,"Manhattan",331522
2024-06-12,"Queens",178135
2024-06-13,"Bronx",84607
2024-06-13,"Brooklyn",273701
2024-06-13,"Manhattan",328189
2024-06-13,"Queens",179254
2024-06-14,"Bronx",77942
2024-06-14,"Brooklyn",237009
2024-06-14,"Manhattan",305369
2024-06-14,"Queens",167616
2024-06-17,"Bronx",74792
2024-06-17,"Brooklyn",245753
2024-06-17,"Manhattan",296148
2024-06-17,"Queens",167194
2024-06-18,"Bronx",83098
2024-06-18,"Brooklyn",276681
2024-06-18,"Manhattan",329461
2024-06-18,"Queens",179267
2024-06-19,"Bronx",59233
2024-06-19,"Brooklyn",192964
2024-06-19,"Manhattan",260879
2024-06-19,"Queens",139131
2024-06-20,"Bronx",83142
2024-06-20,"Brooklyn",275222
2024-06-20,"Manhattan",329542
2024-06-20,"Queens",177694
2024-06-21,"Bronx",74703
2024-06-21,"Brooklyn",232346
2024-06-21,"Manhattan",299161
2024-06-21,"Queens",166401
2024-06-24,"Bronx",77788
2024-06-24,"Brooklyn",253108
2024-06-24,"Manhattan",308977
2024-06-24,"Queens",172079
2024-06-25,"Bronx",82654
2024-06-25,"Brooklyn",276951
2024-06-25,"Manhattan",331013
2024-06-25,"Queens",178337
2024-06-26,"Bronx",83731
2024-06-26,"Brooklyn",277310
2024-06-26,"Manhattan",332721
2024-06-26,"Queens",178144
2024-06-27,"Bronx",80887
2024-06-27,"Brooklyn",267565
2024-06-27,"Manhattan",321894
2024-06-27,"Queens",177773
2024-06-28,"Bronx",75443
2024-06-28,"Brooklyn",224265
2024-06-28,"Manhattan",290830
2024-06-28,"Queens",161826
2024-07-01,"Bronx",79504
2024-07-01,"Brooklyn",244068
2024-07-01,"Manhattan",302864
2024-07-01,"Queens",172123
2024-07-02,"Bronx",85064
2024-07-02,"Brooklyn",265685
2024-07-02,"Manhattan",314393
2024-07-02,"Queens",177711
2024-07-03,"Bronx",82169
