"","date","ridership","min_temp","snow","snow_d","rain"
"1",2024-06-01,1414,62,0,0,0
"2",2024-06-02,1068,62,0,0,0
"3",2024-06-03,2337,66,0,0,0.02
"4",2024-06-04,2674,64,0,0,0
"5",2024-06-05,2545,63,0,0,0.04
"6",2024-06-06,2407,69,0,0,0.58
"7",2024-06-07,2207,67,0,0,0
"8",2024-06-08,1319,65,0,0,0
"9",2024-06-09,866,65,0,0,0
"10",2024-06-10,2272,63,0,0,0
"11",2024-06-11,2592,60,0,0,0
"12",2024-06-12,2610,62,0,0,0
"13",2024-06-13,2505,63,0,0,0
"14",2024-06-14,2325,66,0,0,0.85
"15",2024-06-15,1408,65,0,0,0
"16",2024-06-16,1080,63,0,0,0
"17",2024-06-17,2356,64,0,0,0
"18",2024-06-18,2543,69,0,0,0
"19",2024-06-19,1976,67,0,0,0
"20",2024-06-20,2408,68,0,0,0
"21",2024-06-21,2142,68,0,0,0
"22",2024-06-22,1114,72,0,0,0.04
"23",2024-06-23,808,70,0,0,0
"24",2024-06-24,2331,69,0,0,0
"25",2024-06-25,2552,71,0,0,0
"26",2024-06-26,2264,68,0,0,0.26
"27",2024-06-27,2391,70,0,0,0.57
"28",2024-06-28,2228,63,0,0,0
"29",2024-06-29,1180,64,0,0,0.02
"30",2024-06-30,894,70,0,0,0.57
"31",2024-07-01,2361,64,0,0,0
"32",2024-07-02,2522,65,0,0,0
"33",2024-07-03,2472,64,0,0,0
"34",2024-07-04,911,68,0,0,0.07
"35",2024-07-05,1690,71,0,0,0.03
"36",2024-07-06,1091,70,0,0,0.01
"37",2024-07-07,812,73,0,0,0
"38",2024-07-08,2406,72,0,0,0
"39",2024-07-09,2592,72,0,0,0
"40",2024-07-10,2447,74,0,0,0
"41",2024-07-11,2524,72,0,0,0.01
"42",2024-07-12,2219,72,0,0,0.13
"43",2024-07-13,1050,72,0,0,0.75
"44",2024-07-14,806,75,0,0,0
"45",2024-07-15,2316,72,0,0,0.3
"46",2024-07-16,2355,78,0,0,0
"47",2024-07-17,2472,74,0,0,0.73
"48",2024-07-18,2491,72,0,0,0
"49",2024-07-19,2245,68,0,0,0
"50",2024-07-20,1241,68,0,0,0
"51",2024-07-21,801,72,0,0,0
"52",2024-07-22,2299,72,0,0,0.05
"53",2024-07-23,2389,73,0,0,0.02
"54",2024-07-24,2502,75,0,0,0
"55",2024-07-25,2425,75,0,0,0
"56",2024-07-26,2467,68,0,0,0
"57",2024-07-27,1100,69,0,0,0
"58",2024-07-28,810,71,0,0,0
"59",2024-07-29,2379,68,0,0,0.05
"60",2024-07-30,2543,72,0,0,0
"61",2024-07-31,2528,75,0,0,0
"62",2024-08-01,2528,75,0,0,0
"63",2024-08-02,2241,75,0,0,0.18
"64",2024-08-03,1062,74,0,0,1.28
"65",2024-08-04,786,72,0,0,0.18
"66",2024-08-05,2302,72,0,0,0
"67",2024-08-06,2422,72,0,0,0.83
"68",2024-08-07,2365,66,0,0,0.06
"69",2024-08-08,2321,66,0,0,0.28
"70",2024-08-09,2162,73,0,0,0.26
"71",2024-08-10,1282,74,0,0,0
"72",2024-08-11,861,73,0,0,0
"73",2024-08-12,2268,64,0,0,0.01
"74",2024-08-13,2386,65,0,0,0
"75",2024-08-14,2473,68,0,0,0
"76",2024-08-15,2367,69,0,0,0
"77",2024-08-16,2219,72,0,0,0
"78",2024-08-17,1193,70,0,0,0.05
"79",2024-08-18,789,71,0,0,0.61
"80",2024-08-19,2282,70,0,0,0.31
"81",2024-08-20,2397,63,0,0,0
"82",2024-08-21,2361,58,0,0,0
