"week","borough","ridership"
2024-06-02,"Bronx",412577
2024-06-02,"Brooklyn",1341978
2024-06-02,"Manhattan",1617170
2024-06-02,"Queens",878117
2024-06-09,"Bronx",415838
2024-06-09,"Brooklyn",1327719
2024-06-09,"Manhattan",1613259
2024-06-09,"Queens",883309
2024-06-16,"Bronx",374968
2024-06-16,"Brooklyn",1222966
2024-06-16,"Manhattan",1515191
2024-06-16,"Queens",829687
2024-06-23,"Bronx",400503
2024-06-23,"Brooklyn",1299199
2024-06-23,"Manhattan",1585435
2024-06-23,"Queens",868159
2024-06-30,"Bronx",344012
2024-06-30,"Brooklyn",1032208
2024-06-30,"Manhattan",1314309
2024-06-30,"Queens",729790
2024-07-07,"Bronx",410274
2024-07-07,"Brooklyn",1267501
2024-07-07,"Manhattan",1580343
2024-07-07,"Queens",881665
2024-07-14,"Bronx",403867
2024-07-14,"Brooklyn",1263806
2024-07-14,"Manhattan",1571420
2024-07-14,"Queens",876498
2024-07-21,"Bronx",401384
2024-07-21,"Brooklyn",1250062
2024-07-21,"Manhattan",1571160
2024-07-21,"Queens",879020
2024-07-28,"Bronx",396561
2024-07-28,"Brooklyn",1246107
2024-07-28,"Manhattan",1555410
2024-07-28,"Queens",868622
2024-08-04,"Bronx",390424
2024-08-04,"Brooklyn",1232538
2024-08-04,"Manhattan",1553597
2024-08-04,"Queens",861845
2024-08-11,"Bronx",392122
2024-08-11,"Brooklyn",1234476
2024-08-11,"Manhattan",1520430
2024-08-11,"Queens",854119
2024-08-18,"Bronx",384006
2024-08-18,"Brooklyn",1212926
2024-08-18,"Manhattan",1500065
2024-08-18,"Queens",845388
2024-08-25,"Bronx",395708
2024-08-25,"Brooklyn",1236632
2024-08-25,"Manhattan",1529004
2024-08-25,"Queens",850442
2024-09-01,"Bronx",415389
2024-09-01,"Brooklyn",1282358
2024-09-01,"Manhattan",1517839
2024-09-01,"Queens",838147
2024-09-08,"Bronx",541647
2024-09-08,"Brooklyn",1628365
2024-09-08,"Manhattan",1785952
2024-09-08,"Queens",1034778
2024-09-15,"Bronx",558727
2024-09-15,"Brooklyn",1636249
2024-09-15,"Manhattan",1795664
2024-09-15,"Queens",1044952
