"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-01","0.00","0.0","0.0","62",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-02","0.00","0.0","0.0","62",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-03","0.02","0.0","0.0","66",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-04","0.00","0.0","0.0","64","    1","    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-05","0.04","0.0","0.0","63","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-06","0.58","0.0","0.0","69","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-07","0.00","0.0","0.0","67",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-08","0.00","0.0","0.0","65",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-09","0.00","0.0","0.0","65",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-10","0.00","0.0","0.0","63",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-11","0.00","0.0","0.0","60",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-12","0.00","0.0","0.0","62",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-13","0.00","0.0","0.0","63",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-14","0.85","0.0","0.0","66","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-15","0.00","0.0","0.0","65",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-16","0.00","0.0","0.0","63",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-17","0.00","0.0","0.0","64",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-18","0.00","0.0","0.0","69",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-19","0.00","0.0","0.0","67",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-20","0.00","0.0","0.0","68",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-21","0.00","0.0","0.0","68",,,,,,
