"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-01","10.51",,"0.00","0.0","0.0",,"82","62","  210","  210","19.9","25.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-02","8.72",,"0.00","0.0","0.0",,"79","62","  190","  180","18.1","23.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-03","6.04",,"0.02","0.0","0.0",,"84","66","  190","  220","14.1","18.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-04","6.93",,"0.00","0.0","0.0",,"78","64","  140","  140","15.0","17.0","    1","    1",,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-05","8.50",,"0.04","0.0","0.0",,"78","63","  170","  180","16.1","23.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-06","8.72",,"0.58","0.0","0.0",,"84","69","  330","  320","25.1","36.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-07","9.62",,"0.00","0.0","0.0",,"83","67","  340","  320","29.1","40.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-08","13.87",,"0.00","0.0","0.0",,"81","65","  270","  280","23.0","32.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-09","12.97",,"0.00","0.0","0.0",,"78","65","  350","  350","25.9","33.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-10","12.53",,"0.00","0.0","0.0",,"77","63","  240","  330","21.0","29.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-11","8.28",,"0.00","0.0","0.0",,"72","60","  360","  360","14.1","17.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-12","9.62",,"0.00","0.0","0.0",,"74","62","  210","  210","16.1","16.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-13","10.07",,"0.00","0.0","0.0",,"78","63","  190","  190","21.0","28.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-14","8.28",,"0.85","0.0","0.0",,"78","66","  340","  330","38.0","49.0","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-15","10.74",,"0.00","0.0","0.0",,"83","65","  360","  360","23.0","31.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-16","9.40",,"0.00","0.0","0.0",,"80","63","  150","  160","16.1","21.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-17","12.97",,"0.00","0.0","0.0",,"80","64","  180","  180","29.1","40.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-18","13.20",,"0.00","0.0","0.0",,"80","69","  190","  180","23.9","33.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-19","11.86",,"0.00","0.0","0.0",,"82","67","  180","  180","23.0","31.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-20","10.96",,"0.00","0.0","0.0",,"84","68","  190","  190","23.0","30.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-21","11.18",,"0.00","0.0","0.0",,"91","68","  190","  190","23.9","31.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-22","6.71",,"0.04","0.0","0.0",,"87","72","  220","  230","21.0","27.1",,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-23","12.53",,"0.00","0.0","0.0",,"85","70","  200","  200","28.0","36.9",,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-24","18.57",,"0.00","0.0","0.0",,"85","69","  350","  350","35.1","50.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-25","13.87",,"0.00","0.0","0.0",,"91","71","  250","  320","21.9","31.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-26","11.86",,"0.26","0.0","0.0",,"84","68","  340","  340","29.1","42.1","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-27","12.08",,"0.57","0.0","0.0",,"87","70","  350","  360","23.0","34.0","    1",,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-28","9.40",,"0.00","0.0","0.0",,"80","63","  160","  170","17.0","21.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-29","13.65",,"0.02","0.0","0.0",,"80","64","  160","  180","25.1","33.1","    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-06-30","10.07",,"0.57","0.0","0.0",,"83","70","  190","  190","23.9","31.1","    1",,"    1",,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-07-01","15.43",,"0.00","0.0","0.0",,"82","64","  360","  360","25.1","38.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-07-02","7.83",,"0.00","0.0","0.0",,"82","65","  360","  350","14.1","17.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-07-03","10.07",,"0.00","0.0","0.0",,"80","64","  180","  180","23.0","29.1",,,,,,
