"week","borough","ridership"
2024-06-02,"Bronx",404496
2024-06-02,"Brooklyn",1328534
2024-06-02,"Manhattan",1607339
2024-06-02,"Queens",873184
2024-06-09,"Bronx",408117
2024-06-09,"Brooklyn",1314784
2024-06-09,"Manhattan",1602192
2024-06-09,"Queens",878206
2024-06-16,"Bronx",367872
2024-06-16,"Brooklyn",1208587
2024-06-16,"Manhattan",1504118
2024-06-16,"Queens",822688
2024-06-23,"Bronx",391958
2024-06-23,"Brooklyn",1285861
2024-06-23,"Manhattan",1574949
2024-06-23,"Queens",862365
2024-06-30,"Bronx",336393
2024-06-30,"Brooklyn",1018595
2024-06-30,"Manhattan",1305051
2024-06-30,"Queens",724103
2024-07-07,"Bronx",403028
2024-07-07,"Brooklyn",1254403
2024-07-07,"Manhattan",1570111
2024-07-07,"Queens",875059
2024-07-14,"Bronx",395901
2024-07-14,"Brooklyn",1251527
2024-07-14,"Manhattan",1560287
2024-07-14,"Queens",871912
2024-07-21,"Bronx",393893
2024-07-21,"Brooklyn",1236792
2024-07-21,"Manhattan",1560919
2024-07-21,"Queens",873107
2024-07-28,"Bronx",389341
2024-07-28,"Brooklyn",1233447
2024-07-28,"Manhattan",1544665
2024-07-28,"Queens",862870
2024-08-04,"Bronx",383290
2024-08-04,"Brooklyn",1218909
2024-08-04,"Manhattan",1543143
2024-08-04,"Queens",856649
2024-08-11,"Bronx",384507
2024-08-11,"Brooklyn",1221023
2024-08-11,"Manhattan",1510680
2024-08-11,"Queens",849551
2024-08-18,"Bronx",376715
2024-08-18,"Brooklyn",1198606
2024-08-18,"Manhattan",1489266
2024-08-18,"Queens",839245
2024-08-25,"Bronx",388124
2024-08-25,"Brooklyn",1223125
2024-08-25,"Manhattan",1518623
2024-08-25,"Queens",844248
2024-09-01,"Bronx",407813
2024-09-01,"Brooklyn",1266954
2024-09-01,"Manhattan",1503877
2024-09-01,"Queens",832379
2024-09-08,"Bronx",530836
2024-09-08,"Brooklyn",1608479
2024-09-08,"Manhattan",1770125
2024-09-08,"Queens",1025572
2024-09-15,"Bronx",547900
2024-09-15,"Brooklyn",1615173
2024-09-15,"Manhattan",1779313
2024-09-15,"Queens",1034327
2024-09-22,"Bronx",548839
2024-09-22,"Brooklyn",1628180
2024-09-22,"Manhattan",1813254
2024-09-22,"Queens",1044866
2024-09-29,"Bronx",505208
2024-09-29,"Brooklyn",1520847
2024-09-29,"Manhattan",1754485
2024-09-29,"Queens",1011519
2024-10-06,"Bronx",567851
2024-10-06,"Brooklyn",1668989
2024-10-06,"Manhattan",1892669
2024-10-06,"Queens",1098848
2024-10-13,"Bronx",529725
2024-10-13,"Brooklyn",1566162
2024-10-13,"Manhattan",1828307
2024-10-13,"Queens",1046246
2024-10-20,"Bronx",575551
2024-10-20,"Brooklyn",1668377
2024-10-20,"Manhattan",1931390
2024-10-20,"Queens",1100370
2024-10-27,"Bronx",551176
2024-10-27,"Brooklyn",1632722
2024-10-27,"Manhattan",1891509
2024-10-27,"Queens",1074791
2024-11-03,"Bronx",553179
2024-11-03,"Brooklyn",1623433
2024-11-03,"Manhattan",1856400
2024-11-03,"Queens",1065923
